Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
0	0	3	0	0	0	0.000922458	0.33676	0.0101608	1.11518e-05	0	2.84036	2.47247e-05	0.4985	0
1.2142	0.00146578	3.19775	-23.6808	-1.3312e-07	3.54334	0.00090493	0.336005	0.0116707	0.000813717	0	2.84036	-5.41501e-05	0.460426	-1.41229
2.43508	0.00567339	3.38158	-29.8623	-2.80446e-07	7.09274	0.000888847	0.335358	0.012888	0.0015631	0	2.84036	-7.20972e-05	0.429589	-5.70613
3.66061	0.0124477	3.55612	-33.6067	-4.43142e-07	10.6472	0.000873742	0.334726	0.0137999	0.00225134	0	2.84034	-3.81662e-05	0.413981	-13.1877
4.88898	0.0216081	3.72824	-36.4285	-6.22807e-07	14.2077	0.000859201	0.334057	0.0143834	0.00289119	0	2.84033	3.03492e-05	0.419673	-24.6991
6.11845	0.0330582	3.90658	-38.7454	-8.21795e-07	17.7765	0.000844592	0.333348	0.0146555	0.00350617	0	2.84033	0.000115738	0.445237	-41.2367
7.34733	0.0467663	4.09971	-40.7422	-1.04355e-06	21.3571	0.000829188	0.332483	0.0146903	0.00411709	0	2.84034	0.000189575	0.489848	-63.9338
8.57433	0.0627772	4.31265	-42.4424	-1.2939e-06	24.9517	0.000812629	0.331531	0.0145836	0.00474405	0	2.84036	0.000231011	0.541807	-92.4681
9.79824	0.0811454	4.5487	-43.9489	-1.58073e-06	28.563	0.000794722	0.330385	0.0143658	0.00537366	0	2.84038	0.000222257	0.602648	-127.641
11.018	0.101832	4.80964	-45.2828	-1.9159e-06	32.1928	0.000775471	0.329083	0.0140824	0.00597329	0	2.84041	0.000166678	0.667099	-168.931
12.2328	0.124735	5.09597	-46.4657	-2.3151e-06	35.8429	0.000754854	0.32759	0.0138826	0.00654015	0	2.84044	7.85084e-05	0.730581	-215.178
13.4423	0.149666	5.40585	-47.512	-2.80104e-06	39.5132	0.000732999	0.325987	0.0138383	0.0070172	0	2.84047	-3.4198e-05	0.788327	-264.614
14.6467	0.176177	5.73685	-48.46	-3.40574e-06	43.2029	0.00070999	0.324267	0.0139632	0.00732948	0	2.8405	-0.000178668	0.841404	-316.894
15.846	0.203239	6.08618	-49.3244	-4.1759e-06	46.9108	0.000685802	0.322537	0.0142319	0.00723718	0	2.84052	-0.000356354	0.888191	-370.908
17.0408	0.229308	6.45187	-50.1364	-5.17985e-06	50.636	0.000660593	0.320859	0.0144598	0.00684569	0	2.84053	-0.000549531	0.932915	-427.897
18.2307	0.254019	6.83331	-50.9032	-6.50841e-06	54.3787	0.000634735	0.319143	0.0147754	0.00650756	0	2.84052	-0.00071082	0.974864	-487.01
19.4163	0.277992	7.22811	-51.621	-8.28344e-06	58.1371	0.000608512	0.317462	0.0152244	0.00650046	0	2.8405	-0.000821697	1.01107	-546.419
20.5977	0.303065	7.63556	-52.3283	-1.06342e-05	61.9112	0.000582667	0.31558	0.0157353	0.00704169	0	2.84048	-0.000896465	1.05056	-610.21
21.774	0.330885	8.05751	-53.0445	-1.36626e-05	65.7039	0.00055764	0.313356	0.0162142	0.00780628	0	2.84045	-0.000953657	1.09929	-681.843
22.9446	0.361173	8.49474	-53.7217	-1.7427e-05	69.5176	0.000532661	0.311	0.0170837	0.00817774	0	2.84042	-0.00103084	1.14075	-751.526
24.1115	0.39218	8.94176	-54.3493	-2.197e-05	73.3469	0.000507859	0.308572	0.0185641	0.00821969	0	2.84043	-0.00114201	1.16866	-814.179
